DateTime,State,Fuel Type,Supply
08/07/2021 00:00,QLD,Hydro,4141.573
08/07/2021 00:00,QLD,Liquid Fuel,2719.446
08/07/2021 00:00,QLD,Solar,5545.219
08/07/2021 00:00,QLD,Wind,7912.524
08/07/2021 00:00,SA,Battery,289.357
08/07/2021 00:00,SA,Gas,24724.185
08/07/2021 00:00,SA,Liquid Fuel,871.09
08/07/2021 00:00,SA,Solar,1131.322
08/07/2021 00:00,SA,Wind,15967.706
08/07/2021 00:00,TAS,Gas,0
08/07/2021 00:00,TAS,Hydro,45441.512
08/07/2021 00:00,TAS,Wind,1002.168
08/07/2021 00:00,VIC,Battery,55.866
08/07/2021 00:00,VIC,Brown coal,100551.795
08/07/2021 00:00,VIC,Gas,11451.96
08/07/2021 00:00,VIC,Hydro,16753.52
08/07/2021 00:00,VIC,Solar,1647.355
08/07/2021 00:00,VIC,Wind,6723.375
09/07/2021 00:00,NSW,Black coal,185025.793
09/07/2021 00:00,NSW,Gas,9124.103
09/07/2021 00:00,NSW,Hydro,17917.915
09/07/2021 00:00,NSW,Liquid Fuel,0
09/07/2021 00:00,NSW,Solar,4384.376
09/07/2021 00:00,NSW,Wind,8631.168
09/07/2021 00:00,QLD,Battery,0.04
09/07/2021 00:00,QLD,Biomass,1639.358
09/07/2021 00:00,QLD,Black coal,127427.039
09/07/2021 00:00,QLD,Gas,22380.601
09/07/2021 00:00,QLD,Hydro,4518.81
09/07/2021 00:00,QLD,Liquid Fuel,1695.489
09/07/2021 00:00,QLD,Solar,6378.038
09/07/2021 00:00,QLD,Wind,7063.535
09/07/2021 00:00,SA,Battery,367.626
09/07/2021 00:00,SA,Gas,28123.386
